"ID";"Station";"Line";"AdmArea";"District";"MCDStation";"AeroexpressStation";"RailwayStation";"RailwayTerminal";"ObjectStatus";"global_id";
"Код";"Наименование станции";"Наименование линии";"Административный округ";"Район";"Станция МЦД";"Станция Аэроэкспресс";"Станция радиального железнодорожного направления";"Выход к железнодорожному вокзалу";"Статус объекта";"global_id";
"269";"Рассказовка";"Солнцевская линия";"Новомосковский административный округ";"поселение Внуковское";"[]";"[]";"[]";"[]";"действует";"58702050";
"253";"Нагатинский Затон";"Большая кольцевая линия";"Южный административный округ";"район Нагатинский Затон";"[]";"[]";"[]";"[]";"действует";"58702051";
"42";"Измайловская";"Арбатско-Покровская линия";"Восточный административный округ";"район Измайлово";"[]";"[]";"[]";"[]";"действует";"58702052";
"226";"Косино";"Некрасовская линия";"Юго-Восточный административный округ";"район Выхино-Жулебино";"{global_id=2608949026, value=Косино}";"[]";"{global_id=1132155450, value=Косино}";"[]";"действует";"58702053";
"215";"Битцевский парк";"Бутовская линия";"Юго-Западный административный округ";"район Ясенево";"[]";"[]";"[]";"[]";"действует";"58702054";
"36";"Сокол";"Замоскворецкая линия";"Северный административный округ";"район Сокол";"[]";"[]";"[]";"[]";"действует";"58702055";
"261";"Рижская";"Большая кольцевая линия";"Центральный административный округ";"Мещанский район";"{global_id=1058999474, value=Рижская}";"[]";"{global_id=1132155428, value=Рижская}";"[{global_id=1058611993, value=Рижский}]";"действует";"58702056";
"260";"Сокольники";"Большая кольцевая линия";"Восточный административный округ";"район Сокольники";"{global_id=2608947198, value=Митьково}";"[]";"[]";"[]";"действует";"58702057";
"69";"Смоленская";"Филёвская линия";"Центральный административный округ";"район Арбат";"[]";"[]";"[]";"[]";"действует";"58702058";
"13";"Парк культуры";"Сокольническая линия";"Центральный административный округ";"район Хамовники";"[]";"[]";"[]";"[]";"действует";"58702060";
"263";"Мичуринский проспект";"Солнцевская линия";"Западный административный округ";"район Раменки";"[]";"[]";"[]";"[]";"действует";"58702061";
"206";"Котельники";"Таганско-Краснопресненская линия";"Юго-Восточный административный округ";"район Выхино-Жулебино";"[]";"[]";"[]";"[]";"действует";"58702062";
"11";"Библиотека имени Ленина";"Сокольническая линия";"Центральный административный округ";"район Арбат";"[]";"[]";"[]";"[]";"действует";"58702063";
"229";"Некрасовка";"Некрасовская линия";"Юго-Восточный административный округ";"район Некрасовка";"[]";"[]";"[]";"[]";"действует";"58702064";
"124";"Волгоградский проспект";"Таганско-Краснопресненская линия";"Юго-Восточный административный округ";"Южнопортовый район";"[]";"[]";"[]";"[]";"действует";"58702065";
"164";"Трубная";"Люблинско-Дмитровская линия";"Центральный административный округ";"Мещанский район";"[]";"[]";"[]";"[]";"действует";"58702066";
"34";"Динамо";"Замоскворецкая линия";"Северный административный округ";"район Аэропорт";"[]";"[]";"[]";"[]";"действует";"58702067";
"91";"Алексеевская";"Калужско-Рижская линия";"Северо-Восточный административный округ";"Алексеевский район";"[]";"[]";"[]";"[]";"действует";"58702068";
"110";"Планерная";"Таганско-Краснопресненская линия";"Северо-Западный административный округ";"район Северное Тушино";"[]";"[]";"[]";"[]";"действует";"58702071";
"15";"Спортивная";"Сокольническая линия";"Центральный административный округ";"район Хамовники";"[]";"[]";"[]";"[]";"действует";"58702072";
"201";"Суворовская";"Кольцевая линия";"Центральный административный округ";"Мещанский район";"[]";"[]";"[]";"[]";"строится";"58702074";
"122";"Таганская";"Таганско-Краснопресненская линия";"Центральный административный округ";"Таганский район";"[]";"[]";"[]";"[]";"действует";"58702075";
"51";"Киевская";"Арбатско-Покровская линия";"Западный административный округ";"район Дорогомилово";"[]";"[]";"{global_id=1132155459, value=Киевский вокзал}";"[{global_id=1058616246, value=Киевский}]";"действует";"58702076";
"30";"Театральная";"Замоскворецкая линия";"Центральный административный округ";"Тверской район";"[]";"[]";"[]";"[]";"действует";"58702077";
"4";"Сокольники";"Сокольническая линия";"Восточный административный округ";"район Сокольники";"{global_id=2608947198, value=Митьково}";"[]";"[]";"[]";"действует";"58702078";
"217";"Деловой центр";"Солнцевская линия";"Центральный административный округ";"Пресненский район";"{global_id=1058903381, value=Тестовская}";"{global_id=1508985132, value=Тестовская}";"{global_id=1132155494, value=Тестовская}";"[]";"действует";"58702079";
"161";"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"Юго-Западный административный округ";"район Северное Бутово";"[]";"[]";"[]";"[]";"действует";"58702080";
"177";"Шипиловская";"Люблинско-Дмитровская линия";"Южный административный округ";"район Зябликово";"[]";"[]";"[]";"[]";"действует";"58702081";
"83";"Белорусская";"Кольцевая линия";"Центральный административный округ";"Тверской район";"{global_id=1058906594, value=Белорусская}";"{global_id=1508985008, value=Белорусский вокзал}";"{global_id=1132155385, value=Белорусская}";"[{global_id=1058611508, value=Белорусский}]";"действует";"58702083";
"149";"Полянка";"Серпуховско-Тимирязевская линия";"Центральный административный округ";"район Якиманка";"[]";"[]";"[]";"[]";"действует";"58702084";
"56";"Крылатское";"Арбатско-Покровская линия";"Западный административный округ";"район Крылатское";"[]";"[]";"[]";"[]";"действует";"58702085";
"111";"Сходненская";"Таганско-Краснопресненская линия";"Северо-Западный административный округ";"район Южное Тушино";"[]";"[]";"[]";"[]";"действует";"58702086";
"48";"Площадь Революции";"Арбатско-Покровская линия";"Центральный административный округ";"Тверской район";"[]";"[]";"[]";"[]";"действует";"58702087";
"19";"Юго-Западная";"Сокольническая линия";"Западный административный округ";"район Тропарёво-Никулино";"[]";"[]";"[]";"[]";"действует";"58702088";
"132";"Шоссе Энтузиастов";"Калининская линия";"Восточный административный округ";"район Перово";"[]";"[]";"[]";"[]";"действует";"58702089";
"96";"Китай-город";"Калужско-Рижская линия";"Центральный административный округ";"Тверской район";"[]";"[]";"[]";"[]";"действует";"58702090";
"113";"Щукинская";"Таганско-Краснопресненская линия";"Северо-Западный административный округ";"район Щукино";"{global_id=1058984955, value=Щукинская}";"[]";"{global_id=1132155510, value=Щукинская}";"[]";"действует";"58702091";
"216";"Лесопарковая";"Бутовская линия";"Юго-Западный административный округ";"район Северное Бутово";"[]";"[]";"[]";"[]";"действует";"58702092";
"130";"Новогиреево";"Калининская линия";"Восточный административный округ";"район Новогиреево";"{global_id=2616716786, value=Новогиреево}";"[]";"{global_id=1132155457, value=Новогиреево}";"[]";"действует";"58702093";
"47";"Курская";"Арбатско-Покровская линия";"Центральный административный округ";"Басманный район";"{global_id=1059233904, value=Курская}";"[]";"{global_id=1132155409, value=Курская}";"[{global_id=1058614652, value=Курский}]";"действует";"58702094";
"223";"Минская";"Солнцевская линия";"Западный административный округ";"район Дорогомилово";"{global_id=2616701750, value=Минская}";"[]";"{global_id=2363186137, value=Минская}";"[]";"действует";"58702098";
"67";"Студенческая";"Филёвская линия";"Западный административный округ";"район Дорогомилово";"[]";"[]";"[]";"[]";"действует";"58702099";
"158";"Пражская";"Серпуховско-Тимирязевская линия";"Южный административный округ";"район Чертаново Центральное";"[]";"[]";"[]";"[]";"действует";"58702100";
"74";"Парк культуры";"Кольцевая линия";"Центральный административный округ";"район Хамовники";"[]";"[]";"[]";"[]";"действует";"58702101";
"35";"Аэропорт";"Замоскворецкая линия";"Северный административный округ";"район Аэропорт";"[]";"[]";"[]";"[]";"действует";"58702102";
"81";"Проспект Мира";"Кольцевая линия";"Центральный административный округ";"Мещанский район";"[]";"[]";"[]";"[]";"действует";"58702103";
"97";"Третьяковская";"Калужско-Рижская линия";"Центральный административный округ";"район Замоскворечье";"[]";"[]";"[]";"[]";"действует";"58702104";
"162";"Марьина Роща";"Люблинско-Дмитровская линия";"Северо-Восточный административный округ";"район Марьина Роща";"{global_id=2577702298, value=Марьина Роща}";"[]";"{global_id=2577703365, value=Марьина Роща}";"[]";"действует";"58702105";
"121";"Китай-город";"Таганско-Краснопресненская линия";"Центральный административный округ";"Тверской район";"[]";"[]";"[]";"[]";"действует";"58702106";
"133";"Авиамоторная";"Калининская линия";"Юго-Восточный административный округ";"район Лефортово";"{global_id=2608948139, value=Авиамоторная}";"[]";"{global_id=1132155548, value=Авиамоторная}";"[]";"действует";"58702107";
"154";"Нахимовский проспект";"Серпуховско-Тимирязевская линия";"Юго-Западный административный округ";"район Зюзино";"[]";"[]";"[]";"[]";"действует";"58702108";
"196";"Алма-Атинская";"Замоскворецкая линия";"Южный административный округ";"район Братеево";"[]";"[]";"[]";"[]";"действует";"58702109";
"146";"Цветной бульвар";"Серпуховско-Тимирязевская линия";"Центральный административный округ";"Тверской район";"[]";"[]";"[]";"[]";"действует";"58702110";
"210";"Окружная";"Люблинско-Дмитровская линия";"Северный административный округ";"Тимирязевский район";"{global_id=1058907212, value=Окружная}";"{global_id=1508983290, value=Окружная}";"{global_id=1132046990, value=Окружная}";"[]";"действует";"58702111";
"76";"Добрынинская";"Кольцевая линия";"Центральный административный округ";"район Замоскворечье";"[]";"[]";"[]";"[]";"действует";"58702112";
"197";"Технопарк";"Замоскворецкая линия";"Южный административный округ";"район Нагатино-Садовники";"[]";"[]";"[]";"[]";"действует";"58702113";
"150";"Серпуховская";"Серпуховско-Тимирязевская линия";"Центральный административный округ";"район Замоскворечье";"[]";"[]";"[]";"[]";"действует";"58702114";
"25";"Каширская";"Замоскворецкая линия";"Южный административный округ";"район Нагатино-Садовники";"[]";"[]";"[]";"[]";"действует";"58702115";
"205";"Жулебино";"Таганско-Краснопресненская линия";"Юго-Восточный административный округ";"район Выхино-Жулебино";"[]";"[]";"[]";"[]";"действует";"58702116";
"212";"Селигерская";"Люблинско-Дмитровская линия";"Северный административный округ";"Бескудниковский район";"[]";"[]";"[]";"[]";"действует";"58702117";
"234";"Юго-Восточная";"Некрасовская линия";"Юго-Восточный административный округ";"район Выхино-Жулебино";"[]";"[]";"[]";"[]";"действует";"58702118";
"266";"Солнцево";"Солнцевская линия";"Западный административный округ";"район Солнцево";"[]";"[]";"[]";"[]";"действует";"58702119";
"200";"Пятницкое шоссе";"Арбатско-Покровская линия";"Северо-Западный административный округ";"район Митино";"[]";"[]";"[]";"[]";"действует";"58702120";
"183";"Улица Скобелевская";"Бутовская линия";"Юго-Западный административный округ";"район Южное Бутово";"[]";"[]";"[]";"[]";"действует";"58702121";
"16";"Воробьёвы горы";"Сокольническая линия";"Западный административный округ";"район Раменки";"[]";"[]";"[]";"[]";"действует";"58702122";
"246";"Мичуринский проспект";"Большая кольцевая линия";"Западный административный округ";"район Раменки";"[]";"[]";"[]";"[]";"действует";"58702123";
"211";"Верхние Лихоборы";"Люблинско-Дмитровская линия";"Северный административный округ";"Бескудниковский район";"[]";"[]";"[]";"[]";"действует";"58702124";
"57";"Строгино";"Арбатско-Покровская линия";"Северо-Западный административный округ";"район Строгино";"[]";"[]";"[]";"[]";"действует";"58702125";
"139";"Отрадное";"Серпуховско-Тимирязевская линия";"Северо-Восточный административный округ";"район Отрадное";"[]";"[]";"[]";"[]";"действует";"58702126";
"126";"Кузьминки";"Таганско-Краснопресненская линия";"Юго-Восточный административный округ";"район Кузьминки";"[]";"[]";"[]";"[]";"действует";"58702127";
"61";"Кунцевская";"Филёвская линия";"Западный административный округ";"район Кунцево";"{global_id=1058901824, value=Кунцевская}";"{global_id=1508986102, value=Кунцевская}";"{global_id=1132155392, value=Кунцевская}";"[]";"действует";"58702128";
"233";"Окская";"Некрасовская линия";"Юго-Восточный административный округ";"Рязанский район";"{global_id=2608949019, value=Вешняки}";"[]";"{global_id=1132155448, value=Вешняки}";"[]";"действует";"58702129";
"60";"Митино";"Арбатско-Покровская линия";"Северо-Западный административный округ";"район Митино";"[]";"[]";"[]";"[]";"действует";"58702130";
"101";"Академическая";"Калужско-Рижская линия";"Юго-Западный административный округ";"Академический район";"[]";"[]";"[]";"[]";"действует";"58702131";
"123";"Пролетарская";"Таганско-Краснопресненская линия";"Центральный административный округ";"Таганский район";"[]";"[]";"[]";"[]";"действует";"58702132";
"240";"Деловой центр";"Большая кольцевая линия";"Центральный административный округ";"Пресненский район";"{global_id=1058903381, value=Тестовская (Москва-Сити)}";"{global_id=1508985132, value=Тестовская}";"{global_id=1132155494, value=Тестовская}";"[]";"временно закрыт";"58702134";
"95";"Тургеневская";"Калужско-Рижская линия";"Центральный административный округ";"Красносельский район";"[]";"[]";"[]";"[]";"действует";"58702135";
"105";"Беляево";"Калужско-Рижская линия";"Юго-Западный административный округ";"район Коньково";"[]";"[]";"[]";"[]";"действует";"58702136";
"23";"Царицыно";"Замоскворецкая линия";"Южный административный округ";"район Царицыно";"{global_id=1059237948, value=Царицыно}";"[]";"{global_id=1132155420, value=Царицыно}";"[]";"действует";"58702137";
"219";"Волхонка";"Солнцевская линия";"Центральный административный округ";"район Хамовники";"[]";"[]";"[]";"[]";"строится";"58702138";
"68";"Киевская";"Филёвская линия";"Западный административный округ";"район Дорогомилово";"[]";"[]";"{global_id=1132155459, value=Киевский вокзал}";"[{global_id=1058616246, value=Киевский}]";"действует";"58702139";
"115";"Полежаевская";"Таганско-Краснопресненская линия";"Северный административный округ";"Хорошёвский район";"[]";"[]";"[]";"[]";"действует";"58702140";
"255";"Текстильщики";"Большая кольцевая линия";"Юго-Восточный административный округ";"район Текстильщики";"{global_id=1059235328, value=Текстильщики}";"[]";"{global_id=1132155413, value=Текстильщики}";"[]";"действует";"58702141";
"37";"Войковская";"Замоскворецкая линия";"Северный административный округ";"Войковский район";"{global_id=1058985425, value=Стрешнево}";"[]";"{global_id=1132155400, value=Стрешнево}";"[]";"действует";"58702142";
"195";"Саларьево";"Сокольническая линия";"Западный административный округ";"район Солнцево";"[]";"[]";"[]";"[]";"действует";"58702143";
"174";"Братиславская";"Люблинско-Дмитровская линия";"Юго-Восточный административный округ";"район Марьино";"[]";"[]";"[]";"[]";"действует";"58702144";
"157";"Южная";"Серпуховско-Тимирязевская линия";"Южный административный округ";"район Чертаново Центральное";"[]";"[]";"[]";"[]";"действует";"58702145";
"85";"Киевская";"Кольцевая линия";"Западный административный округ";"район Дорогомилово";"[]";"[]";"{global_id=1132155459, value=Киевский вокзал}";"[{global_id=1058616246, value=Киевский}]";"действует";"58702146";
"53";"Славянский бульвар";"Арбатско-Покровская линия";"Западный административный округ";"район Фили-Давыдково";"{global_id=1058902031, value=Славянский бульвар}";"{global_id=1508985977, value=Славянский бульвар}";"{global_id=1132155390, value=Славянский бульвар}";"[]";"действует";"58702147";
"88";"Свиблово";"Калужско-Рижская линия";"Северо-Восточный административный округ";"район Свиблово";"[]";"[]";"[]";"[]";"действует";"58702148";
"17";"Университет";"Сокольническая линия";"Западный административный округ";"район Раменки";"[]";"[]";"[]";"[]";"действует";"58702149";
"182";"Улица Старокачаловская";"Бутовская линия";"Юго-Западный административный округ";"район Северное Бутово";"[]";"[]";"[]";"[]";"действует";"58702150";
"45";"Электрозаводская";"Арбатско-Покровская линия";"Восточный административный округ";"район Соколиная Гора";"{global_id=2608947208, value=Электрозаводская}";"[]";"{global_id=1132155441, value=Электрозаводская}";"[]";"действует";"58702151";
"108";"Ясенево";"Калужско-Рижская линия";"Юго-Западный административный округ";"район Ясенево";"[]";"[]";"[]";"[]";"действует";"58702152";
"194";"Румянцево";"Сокольническая линия";"Новомосковский административный округ";"поселение Московский";"[]";"[]";"[]";"[]";"действует";"58702153";
"193";"Тропарёво";"Сокольническая линия";"Западный административный округ";"район Тропарёво-Никулино";"[]";"[]";"[]";"[]";"действует";"58702154";
"78";"Таганская";"Кольцевая линия";"Центральный административный округ";"Таганский район";"[]";"[]";"[]";"[]";"действует";"58702155";
"22";"Орехово";"Замоскворецкая линия";"Южный административный округ";"район Орехово-Борисово Северное";"[]";"[]";"[]";"[]";"действует";"58702157";
"131";"Перово";"Калининская линия";"Восточный административный округ";"район Новогиреево";"[]";"[]";"[]";"[]";"действует";"58702158";
"169";"Дубровка";"Люблинско-Дмитровская линия";"Юго-Восточный административный округ";"Южнопортовый район";"[]";"[]";"[]";"[]";"действует";"58702160";
"252";"Каширская";"Большая кольцевая линия";"Южный административный округ";"район Москворечье-Сабурово";"[]";"[]";"[]";"[]";"действует";"58702161";
"44";"Семёновская";"Арбатско-Покровская линия";"Восточный административный округ";"район Соколиная Гора";"[]";"[]";"[]";"[]";"действует";"58702162";
"232";"Стахановская";"Некрасовская линия";"Юго-Восточный административный округ";"Рязанский район";"[]";"[]";"[]";"[]";"действует";"58702163";
"54";"Кунцевская";"Арбатско-Покровская линия";"Западный административный округ";"район Кунцево";"{global_id=1058901824, value=Кунцевская}";"{global_id=1508986102, value=Кунцевская}";"{global_id=1132155392, value=Кунцевская}";"[]";"действует";"58702164";
"209";"Петровско-Разумовская";"Люблинско-Дмитровская линия";"Северный административный округ";"Тимирязевский район";"{global_id=2608946922, value=Петровско-Разумовская}";"[]";"{global_id=1132155430, value=Петровско-Разумовская}";"[]";"действует";"58702165";
"107";"Тёплый стан";"Калужско-Рижская линия";"Юго-Западный административный округ";"район Ясенево";"[]";"[]";"[]";"[]";"действует";"58702166";
"128";"Выхино";"Таганско-Краснопресненская линия";"Юго-Восточный административный округ";"район Выхино-Жулебино";"{global_id=2608949023, value=Выхино}";"[]";"{global_id=1132155449, value=Выхино}";"[]";"действует";"58702168";
"24";"Кантемировская";"Замоскворецкая линия";"Южный административный округ";"район Царицыно";"[]";"[]";"[]";"[]";"действует";"58702170";
"55";"Молодёжная";"Арбатско-Покровская линия";"Западный административный округ";"район Кунцево";"[]";"[]";"[]";"[]";"действует";"58702172";
"140";"Владыкино";"Серпуховско-Тимирязевская линия";"Северо-Восточный административный округ";"район Отрадное";"[]";"[]";"[]";"[]";"действует";"58702173";
"168";"Крестьянская застава";"Люблинско-Дмитровская линия";"Центральный административный округ";"Таганский район";"[]";"[]";"[]";"[]";"действует";"58702174";
"238";"Хорошёвская";"Большая кольцевая линия";"Северный административный округ";"Хорошёвский район";"[]";"[]";"[]";"[]";"действует";"58702175";
"178";"Зябликово";"Люблинско-Дмитровская линия";"Южный административный округ";"район Зябликово";"[]";"[]";"[]";"[]";"действует";"58702176";
"141";"Петровско-Разумовская";"Серпуховско-Тимирязевская линия";"Северный административный округ";"Тимирязевский район";"{global_id=2608946922, value=Петровско-Разумовская}";"[]";"{global_id=1132155430, value=Петровско-Разумовская}";"[]";"действует";"58702177";
"5";"Красносельская";"Сокольническая линия";"Центральный административный округ";"Красносельский район";"[]";"[]";"[]";"[]";"действует";"58702178";
"8";"Чистые пруды";"Сокольническая линия";"Центральный административный округ";"Басманный район";"[]";"[]";"[]";"[]";"действует";"58702180";
"214";"Лианозово";"Люблинско-Дмитровская линия";"Северный административный округ";"район Восточное Дегунино";"{global_id=1058907703, value=Лианозово}";"[]";"{global_id=1132155380, value=Лианозово}";"[]";"действует";"58702181";
"80";"Комсомольская";"Кольцевая линия";"Центральный административный округ";"Красносельский район";"{global_id=2616711959, value=Площадь трёх вокзалов}";"[]";"{global_id=1132155426, value=Ленинградский вокзал}";"[{global_id=1058613060, value=Ленинградский}, {global_id=1058611738, value=Казанский}, {global_id=1058612845, value=Ярославский}]";"действует";"58702182";
"165";"Сретенский бульвар";"Люблинско-Дмитровская линия";"Центральный административный округ";"Красносельский район";"[]";"[]";"[]";"[]";"действует";"58702183";
"247";"Проспект Вернадского";"Большая кольцевая линия";"Западный административный округ";"район Раменки";"[]";"[]";"[]";"[]";"действует";"58702184";
"148";"Боровицкая";"Серпуховско-Тимирязевская линия";"Центральный административный округ";"район Арбат";"[]";"[]";"[]";"[]";"действует";"58702185";
"138";"Бибирево";"Серпуховско-Тимирязевская линия";"Северо-Восточный административный округ";"район Бибирево";"[]";"[]";"[]";"[]";"действует";"58702186";
"39";"Речной вокзал";"Замоскворецкая линия";"Северный административный округ";"район Левобережный";"[]";"[]";"[]";"[]";"действует";"58702187";
"173";"Люблино";"Люблинско-Дмитровская линия";"Юго-Восточный административный округ";"район Люблино";"[]";"[]";"[]";"[]";"действует";"58702188";
"207";"Бутырская";"Люблинско-Дмитровская линия";"Северо-Восточный административный округ";"Бутырский район";"{global_id=2608947179, value=Останкино}";"[]";"{global_id=1132155429, value=Останкино}";"[]";"действует";"58702189";
"114";"Октябрьское поле";"Таганско-Краснопресненская линия";"Северо-Западный административный округ";"район Щукино";"[]";"[]";"[]";"[]";"действует";"58702190";
"29";"Новокузнецкая";"Замоскворецкая линия";"Центральный административный округ";"район Замоскворечье";"[]";"[]";"[]";"[]";"действует";"58702191";
"66";"Кутузовская";"Филёвская линия";"Западный административный округ";"район Дорогомилово";"{global_id=2616703635, value=Кутузовская}";"[]";"{global_id=2616728372, value=Кутузовская}";"[]";"действует";"58702192";
"112";"Тушинская";"Таганско-Краснопресненская линия";"Северо-Западный административный округ";"район Покровское-Стрешнево";"{global_id=1058984243, value=Тушинская}";"[]";"{global_id=1132155511, value=Тушинская}";"[]";"действует";"58702194";
"26";"Коломенская";"Замоскворецкая линия";"Южный административный округ";"район Нагатино-Садовники";"[]";"[]";"[]";"[]";"действует";"58702195";
"75";"Октябрьская";"Кольцевая линия";"Центральный административный округ";"район Якиманка";"[]";"[]";"[]";"[]";"действует";"58702196";
"18";"Проспект Вернадского";"Сокольническая линия";"Западный административный округ";"район Проспект Вернадского";"[]";"[]";"[]";"[]";"действует";"58702197";
